user,mentions_count,link
wweroaddogg,1,https://twitter.com/wweroaddogg
capt_marvelous,1,https://twitter.com/capt_marvelous
iamjhud,1,https://twitter.com/iamjhud
memecenter,1,https://twitter.com/memecenter
chrisbharrison,1,https://twitter.com/chrisbharrison
ejsuess,1,https://twitter.com/ejsuess
daveandbusters,1,https://twitter.com/daveandbusters
wwecesaro,1,https://twitter.com/wwecesaro
kiss925toronto,1,https://twitter.com/kiss925toronto
waitingindreams,1,https://twitter.com/waitingindreams
3goldensisters,1,https://twitter.com/3goldensisters
bricbreaker,1,https://twitter.com/bricbreaker
skype,1,https://twitter.com/skype
mocha925,1,https://twitter.com/mocha925
xarantur,1,https://twitter.com/xarantur
parsonskb,1,https://twitter.com/parsonskb
iamspectacular,1,https://twitter.com/iamspectacular
melanie_alewis,1,https://twitter.com/melanie_alewis
annaa09,1,https://twitter.com/annaa09
scottbeale,1,https://twitter.com/scottbeale
lorigreiner,1,https://twitter.com/lorigreiner
interislander,1,https://twitter.com/interislander
kcardace,1,https://twitter.com/kcardace
kare11,1,https://twitter.com/kare11
jessclemo,1,https://twitter.com/jessclemo
tannawings,1,https://twitter.com/tannawings
hadams1978,1,https://twitter.com/hadams1978
kool_beans_1,1,https://twitter.com/kool_beans_1
morningshowon7,1,https://twitter.com/morningshowon7
unionsquaresf,1,https://twitter.com/unionsquaresf
lukedhornick,1,https://twitter.com/lukedhornick
lifetimetvca,1,https://twitter.com/lifetimetvca
ejunkie,1,https://twitter.com/ejunkie
travelportland,1,https://twitter.com/travelportland
espn,1,https://twitter.com/espn
bestbuy,1,https://twitter.com/bestbuy
olefermeloeil,1,https://twitter.com/olefermeloeil
puremaddnessone,1,https://twitter.com/puremaddnessone
melissaldork,1,https://twitter.com/melissaldork
elfy54170,1,https://twitter.com/elfy54170
spotify,1,https://twitter.com/spotify
tunathedog,1,https://twitter.com/tunathedog
foxsports,1,https://twitter.com/foxsports
laurajcwriter,1,https://twitter.com/laurajcwriter
brenttopa,1,https://twitter.com/brenttopa
tfaw,1,https://twitter.com/tfaw
thelinq,1,https://twitter.com/thelinq
